parent_sku,product,full_product_name,color,sizes,variation_skus,copy_only_no_extension,website_filename,product_id
A023,Fuji V-Neck Button Knit Cardigan,Fuji V-Neck Button Knit Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Putih,,A023-putih,fujiputih,fujiputih.jpg,57400800398
A023,Fuji V-Neck Button Knit Cardigan,Fuji V-Neck Button Knit Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Dark Choco,,A023-coktua,fujidarkchoco,fujidarkchoco.jpg,57400800398
A023,Fuji V-Neck Button Knit Cardigan,Fuji V-Neck Button Knit Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Hitam,,A023-hitam,fujihitam,fujihitam.jpg,57400800398
A023,Fuji V-Neck Button Knit Cardigan,Fuji V-Neck Button Knit Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Maroon,,A023-marun,fujimaroon,fujimaroon.jpg,57400800398
A08,Vely Contrast Trim Button Cardigan,Vely Contrast Trim Button Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Dark Choco,,A08-coktu,velydarkchoco,velydarkchoco.jpg,57150891791
A08,Vely Contrast Trim Button Cardigan,Vely Contrast Trim Button Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Hitam,,A08-hitam,velyhitam,velyhitam.jpg,57150891791
A08,Vely Contrast Trim Button Cardigan,Vely Contrast Trim Button Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Maroon,,A08-marun,velymaroon,velymaroon.jpg,57150891791
A08,Vely Contrast Trim Button Cardigan,Vely Contrast Trim Button Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Putih,,A08-putih,velyputih,velyputih.jpg,57150891791
8010,Luna Brooklyn 99 Graphic Rounded,Luna Brooklyn 99 Graphic Rounded Hem Tee Wanita Korean Style Premium Rayon Spandex Casual,Khaki,,8010-khaki,lunabrooklynkhaki,lunabrooklynkhaki.jpg,56704511975
8010,Luna Brooklyn 99 Graphic Rounded,Luna Brooklyn 99 Graphic Rounded Hem Tee Wanita Korean Style Premium Rayon Spandex Casual,Hitam,,8010-hitam,lunabrooklynhitam,lunabrooklynhitam.jpg,56704511975
8010,Luna Brooklyn 99 Graphic Rounded,Luna Brooklyn 99 Graphic Rounded Hem Tee Wanita Korean Style Premium Rayon Spandex Casual,Abu,,8010-abu,lunabrooklynabu,lunabrooklynabu.jpg,56704511975
8010,Luna Brooklyn 99 Graphic Rounded,Luna Brooklyn 99 Graphic Rounded Hem Tee Wanita Korean Style Premium Rayon Spandex Casual,Salem,,8010-salem,lunabrooklynsalem,lunabrooklynsalem.jpg,56704511975
8010,Luna Brooklyn 99 Graphic Rounded,Luna Brooklyn 99 Graphic Rounded Hem Tee Wanita Korean Style Premium Rayon Spandex Casual,Maron,,8010-maron,lunabrooklynmaroon,lunabrooklynmaroon.jpg,56704511975
8010,Luna Brooklyn 99 Graphic Rounded,Luna Brooklyn 99 Graphic Rounded Hem Tee Wanita Korean Style Premium Rayon Spandex Casual,Coklat tua,,8010-coktua,lunabrooklyncoklattua,lunabrooklyncoklattua.jpg,56704511975
A32-,Myuzy Wavy Hem Collar Cardigan,Myuzy Wavy Hem Collar Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Maron,,A32-marun,myuzymaroon,myuzymaroon.jpg,56151298348
A32-,Myuzy Wavy Hem Collar Cardigan,Myuzy Wavy Hem Collar Cardigan Wanita Korean Style Soft Knit Premium Fit Body Casual,Putih,,A32-putih,myuzyputih,myuzyputih.jpg,56151298348
